source_file,source_sheet,source_row,condition_text,sample_code,mapped_run_id,mapped_role,donor,temperature_C,time_h,ultrasound,native_baseline,binding_capacity_mean,binding_capacity_sd,reduction_pct_vs_native,error_pct_vs_native,use_in_manuscript
ELISA-2026.6.15.xlsx,Sheet1,2,Native,N,,native untreated baseline,none,,,native reference,9.850184,9.850184,0.416395,0.0,4.2273,completes 24-run matrix for Fig. 3a/3b and Supplementary Tables 3-5
ELISA-2026.6.15.xlsx,Sheet1,3,Native-ultrasound-heating-2h,N-U-2h,R21,no-sugar process control,none,55,2,+US,9.850184,8.326612,0.314006,15.4675,3.1878,completes 24-run matrix for Fig. 3a/3b and Supplementary Tables 3-5
ELISA-2026.6.15.xlsx,Sheet1,4,Native-ultrasound-heating-2h,N-U-3h,R22,no-sugar process control; Chinese text repeats 2 h but sample code and user confirmation specify 3 h,none,55,3,+US,9.850184,7.865037,0.150915,20.1534,1.5321,completes 24-run matrix for Fig. 3a/3b and Supplementary Tables 3-5
ELISA-2026.6.15.xlsx,Sheet1,5,ribose-ultrasound-heating-2h,ribose-U-2h,R19,ribose pentose branch,ribose,55,2,+US,9.850184,2.837658,0.112534,71.1918,1.1425,completes 24-run matrix for Fig. 3a/3b and Supplementary Tables 3-5
ELISA-2026.6.15.xlsx,Sheet1,6,mannose-heating-4h,mannose-4h,R12,hexose no-ultrasound sentinel,mannose,55,4,no US,9.850184,3.718011,0.204219,62.2544,2.0732,completes 24-run matrix for Fig. 3a/3b and Supplementary Tables 3-5
ELISA-2026.6.15.xlsx,Sheet1,7,galactose-heating-4h,galactose-4h,R11,hexose no-ultrasound sentinel,galactose,55,4,no US,9.850184,4.355743,0.165285,55.7801,1.678,completes 24-run matrix for Fig. 3a/3b and Supplementary Tables 3-5
ELISA-2026.6.15.xlsx,Sheet1,8,glucose-heating-4h,glucose-4h,R10,hexose no-ultrasound sentinel,glucose,55,4,no US,9.850184,4.126833,0.146205,58.104,1.4843,completes 24-run matrix for Fig. 3a/3b and Supplementary Tables 3-5
ELISA-2026.6.15.xlsx,Sheet1,9,lactose-heating-4h,lactose-4h,R09,hexose no-ultrasound sentinel,lactose,55,4,no US,9.850184,5.226335,0.239028,46.9418,2.4266,completes 24-run matrix for Fig. 3a/3b and Supplementary Tables 3-5
